id,도감번호,이름,설명,타입,키,분류,몸무게,특성
29,19,꼬렛,어떤 장소에도 정착하여 살아갈 수 있는 생명력이 있다. 경계심이 매우 강하다.,['노말'],0.3,쥐포켓몬,3.5,"['도주', '근성']"
30,19,꼬렛,알로라의 모습 앞니로 문을 갉아서 민가에 침입한다. 수염을 실룩거리며 먹이를 찾아내 훔쳐간다.,"['악', '노말']",0.3,쥐포켓몬,3.8,"['먹보', '의욕']"
31,20,레트라,계속 자라는 앞니를 갈아 내려고 딱딱한 것을 갉는 습성이 있다. 벽돌로 된 벽도 갉아서 부순다.,['노말'],0.7,쥐포켓몬,18.5,"['도주', '근성']"
32,20,레트라,알로라의 모습 꼬렛을 통솔하여 그룹을 만든다. 그룹 간에는 영역이 있어 먹이를 둘러싸고 쟁탈전을 벌인다.,"['악', '노말']",0.7,쥐포켓몬,25.5,"['먹보', '의욕']"
33,21,깨비참,작은 날개를 쉴 새 없이 파닥여 날아오른다. 풀밭에 있는 먹이를 부리로 찾아낸다.,"['노말', '비행']",0.3,아기새포켓몬,2.0,['날카로운눈']
34,22,깨비드릴조,큰 날개로 온종일 날아다닐 수 있는 체력의 소유자다. 날카로운 부리로 싸운다.,"['노말', '비행']",1.2,부리포켓몬,38.0,['날카로운눈']
35,23,아보,자유롭게 턱을 뺄 수 있어서 큰 먹이도 삼킬 수 있지만 무거워져서 움직일 수 없게 된다.,['독'],2.0,뱀포켓몬,6.9,"['위협', '탈피']"
36,24,아보크,배의 무늬가 무서운 얼굴로 보인다. 약한 적은 그 무늬만 보고도 도망치고 만다.,['독'],3.5,코브라포켓몬,65.0,"['위협', '탈피']"
37,25,피카츄,양 볼에는 전기를 저장하는 주머니가 있다. 화가 나면 저장한 전기를 단숨에 방출한다.,['전기'],0.4,쥐포켓몬,6.0,['정전기']
38,25,피카츄,거다이맥스의 모습 팽창한 거다이맥스의 파워에 의해 몸이 부풀어서 꼬리가 하늘까지 닿게 되었다.,['전기'],21.0,쥐포켓몬,,['정전기']
39,26,라이츄,꼬리가 어스 역할을 하여 전기를 지면으로 흘려보내므로 자신은 감전되거나 하지 않는다.,['전기'],0.8,쥐포켓몬,30.0,['정전기']
40,26,라이츄,알로라의 모습 알로라지방의 기후와 풍토 그리고 먹이가 이런 모습으로 진화하게 된 원인으로 여겨지고 있다.,"['전기', '에스퍼']",0.7,쥐포켓몬,21.0,['서핑테일']
41,27,모래두지,깊은 구멍을 파서 생활한다. 위험이 닥치면 몸을 말아 상대의 공격을 가만히 견딘다.,['땅'],0.6,쥐포켓몬,12.0,['모래숨기']
42,27,모래두지,알로라의 모습 설산에 산다. 강철의 등껍질은 아주 튼튼하지만 너무 딱딱해서 몸을 구부릴 수가 없다.,"['얼음', '강철']",0.7,쥐포켓몬,40.0,['눈숨기']
43,28,고지,재빠르게 뛰어다니며 등의 가시와 날카로운 발톱으로 공격하는 것이 특기다.,['땅'],1.0,쥐포켓몬,29.5,['모래숨기']
44,28,고지,알로라의 모습 강철로 된 가시를 얼음이 둘러싸고 있다. 찔리면 깊은 상처와 함께 동상도 걸릴 수 있다.,"['얼음', '강철']",1.2,쥐포켓몬,55.0,['눈숨기']
45,29,니드런♀,싸움을 좋아하지 않는 성격이다. 독침에서 분비된 독은 한 방울만 맞아도 생명을 빼앗긴다.,['독'],0.4,독침포켓몬,7.0,"['독가시', '투쟁심']"
46,30,니드리나,위험을 느끼면 전신의 가시를 곤두세운다. 니드리노에 비해서 가시의 성장이 느리다.,['독'],0.8,독침포켓몬,20.0,"['독가시', '투쟁심']"
47,31,니드퀸,갑옷처럼 단단한 비늘이 전신을 둘러싼다. 둥지의 새끼를 목숨 걸고 지킨다.,"['독', '땅']",1.3,드릴포켓몬,60.0,"['독가시', '투쟁심']"
48,32,니드런♂,풀밭 위로 귀만 내놓고 주위의 낌새를 살핀다. 맹독의 뿔로 몸을 보호한다.,['독'],0.5,독침포켓몬,9.0,"['독가시', '투쟁심']"
49,33,니드리노,기질이 거친 포켓몬이다. 상대를 깊이 찌른 충격으로 뿔에서 맹독이 배어 나온다.,['독'],0.9,독침포켓몬,19.5,"['독가시', '투쟁심']"
50,34,니드킹,꼬리를 한 번 휘두르면 전신주를 성냥개비마냥 두 동강 내 버린다.,"['독', '땅']",1.4,드릴포켓몬,62.0,"['독가시', '투쟁심']"
51,35,삐삐,삐삐들은 보름달 밤에 어디에서 왔는지도 모르게 모여 춤춘다. 달빛을 받으면 떠오른다.,['페어리'],0.6,요정포켓몬,7.5,"['헤롱헤롱바디', '매직가드']"
52,36,픽시,요정의 일종으로 모습을 드러내는 것을 좋아하지 않는다. 조용한 산속 깊은 곳에 산다고 전해진다.,['페어리'],1.3,요정포켓몬,40.0,"['헤롱헤롱바디', '매직가드']"
53,37,식스테일,자신보다 강한 상대에게 공격을 받으면 다친 척을 해서 속이고 그 틈을 타서 도망친다.,['불꽃'],0.6,여우포켓몬,9.9,['타오르는불꽃']
54,37,식스테일,알로라의 모습 무리가 서로 도우면서 살아간다. 영하 50도의 숨결로 먹이를 꽁꽁 얼려서 먹는다.,['얼음'],0.6,여우포켓몬,9.9,['눈숨기']
55,38,나인테일,9개의 꼬리에는 각각 다른 신비한 힘이 숨어 있다고 한다.,['불꽃'],1.1,여우포켓몬,19.9,['타오르는불꽃']
56,38,나인테일,알로라의 모습 온화한 기질을 가졌다. 나인테일의 리전폼으로 알려지기 전에는 신의 화신으로 숭상받아 왔다.,"['얼음', '페어리']",1.1,여우포켓몬,19.9,['눈숨기']
57,39,푸린,초롱초롱한 눈동자가 흔들릴 때 졸음이 쏟아지게 하는 이상하고 기분 좋은 노래를 부른다.,"['노말', '페어리']",0.5,풍선포켓몬,5.5,"['헤롱헤롱바디', '승기']"
58,40,푸크린,얇고 고운 털을 지니고 있다. 화나게 하면 몸을 점점 부풀리며 덮쳐 오기 때문에 주의가 필요하다.,"['노말', '페어리']",1.0,풍선포켓몬,12.0,"['헤롱헤롱바디', '승기']"
59,41,주뱃,입에서 내는 초음파로 두 눈이 없어도 주위의 장애물을 탐색할 수 있다.,"['독', '비행']",0.8,박쥐포켓몬,7.5,['정신력']
60,42,골뱃,사람이나 포켓몬의 혈액을 매우 좋아한다. 목덜미의 혈관을 노리며 밤하늘을 날아다닌다.,"['독', '비행']",1.6,박쥐포켓몬,55.0,['정신력']
61,43,뚜벅쵸,별명은 걸어 다니는 독초. 밤이 되면 2개의 뿌리로 300m나 걷는다고 한다.,"['풀', '독']",0.5,잡초포켓몬,5.4,['엽록소']
62,44,냄새꼬,조금씩 배어 나오는 것은 침이 아니다. 꿀 같은 즙으로 먹잇감을 유인하는 것이다.,"['풀', '독']",0.8,잡초포켓몬,8.6,['엽록소']
63,45,라플레시아,펑 하는 소리와 함께 꽃봉오리가 열리면 알레르기를 일으키는 독 꽃가루가 흩뿌려진다.,"['풀', '독']",1.2,꽃포켓몬,18.6,['엽록소']
64,46,파라스,동충하초라고 불리는 버섯을 등에 기르고 있다. 파라스와 함께 크게 자란다.,"['벌레', '풀']",0.3,버섯포켓몬,5.4,"['포자', '건조피부']"
65,47,파라섹트,몸보다 큰 버섯이 파라섹트를 조종하고 있다. 독 포자를 여기저기 뿌린다.,"['벌레', '풀']",1.0,버섯포켓몬,29.5,"['포자', '건조피부']"
66,48,콘팡,전신에서 독이 스며 나온다. 어두워지면 밝은 곳에 모인 작은 벌레포켓몬을 잡아먹는다.,"['벌레', '독']",1.0,곤충포켓몬,30.0,"['복안', '색안경']"
67,49,도나리,날개에 가루가 묻어 있어 팔락팔락 날갯짓을 할 때마다 맹독 가루를 흩뿌린다.,"['벌레', '독']",1.5,독나방포켓몬,12.5,"['인분', '색안경']"
68,50,디그다,지하 1m 정도를 파고들어 가서 나무뿌리 등을 씹어 먹고 산다. 가끔 지상으로 얼굴을 내민다.,['땅'],0.2,두더지포켓몬,0.8,"['모래숨기', '개미지옥']"
69,50,디그다,알로라의 모습 머리에 돋아나 있는 것은 수염이 변화한 것으로 금속질이다. 흔들거리며 동료와 교신한다.,"['땅', '강철']",0.2,두더지포켓몬,1.0,"['모래숨기', '컬리헤어']"
70,51,닥트리오,3개의 머리가 교차하며 움직이는 것은 주변의 흙을 부드럽게 해 파기 쉽게 하기 위해서다.,['땅'],0.7,두더지포켓몬,33.3,"['모래숨기', '개미지옥']"
71,51,닥트리오,알로라의 모습 금빛으로 빛나는 수염은 고도의 센서다. 수 킬로미터 밖의 소리도 진동으로 감지할 수 있다.,"['땅', '강철']",0.7,두더지포켓몬,66.6,"['모래숨기', '컬리헤어']"
72,52,나옹,낮에는 거의 잠만 잔다. 밤이 되면 눈을 반짝이며 영역을 돌아다닌다.,['노말'],0.4,요괴고양이포켓몬,4.2,"['픽업', '테크니션']"
73,52,나옹,알로라의 모습 과거 알로라지방의 왕족과 사치스러운 생활을 했기 때문에 먹이의 취향이 상당히 까다롭다.,['악'],0.4,요괴고양이포켓몬,4.2,"['픽업', '테크니션']"
74,52,나옹,가라르의 모습 전투적인 해양 민족과 지내는 동안 단련되어 몸 여기저기가 강철로 변화했다.,['강철'],0.4,요괴고양이포켓몬,7.5,"['픽업', '단단한발톱']"
75,52,나옹,거다이맥스의 모습 이마의 큰 금화에 나타난 무늬는 다이맥스의 비밀을 밝혀낼 열쇠로 여겨지고 있다.,['노말'],33.0,요괴고양이포켓몬,,"['픽업', '테크니션']"
76,53,페르시온,"털의 결이 아름다워 애완용으로 기르려는 사람이 많지만, 곧잘 할퀴려 들기 때문에 쉽지 않다.",['노말'],1.0,샴고양이포켓몬,32.0,"['유연', '테크니션']"
77,53,페르시온,알로라의 모습 알로라지방에서는 둥근 얼굴이 부의 상징으로 여겨져 페르시온을 소중하게 대한다.,['악'],1.1,샴고양이포켓몬,33.0,"['퍼코트', '테크니션']"
78,54,고라파덕,항상 두통에 시달리고 있다. 이 두통이 심해지면 이상한 힘을 쓰기 시작한다.,['물'],0.8,오리포켓몬,19.6,"['습기', '날씨부정']"
79,55,골덕,물갈퀴가 달린 긴 손발을 써서 전력으로 헤엄치면 왠지 이마에서 빛이 반짝인다.,['물'],1.7,오리포켓몬,76.6,"['습기', '날씨부정']"
80,56,망키,나무 위에 무리 지어 산다. 무리에서 떨어진 망키는 외로운 나머지 금방 화를 낸다.,['격투'],0.5,돈숭이포켓몬,28.0,"['의기양양', '분노의경혈']"
81,57,성원숭,누군가의 시선을 느끼기만 해도 대단히 화를 낸다. 그리고 눈이 마주친 상대를 쫓아다닌다.,['격투'],1.0,돈숭이포켓몬,32.0,"['의기양양', '분노의경혈']"
82,58,가디,자신보다 강하고 큰 상대라도 겁 없이 맞서는 용감하고 믿음직스런 성격이다.,['불꽃'],0.7,강아지포켓몬,19.0,"['위협', '타오르는불꽃']"
83,58,가디,히스이의 모습 짝을 이루어 영역을 지킨다. 털에 화성암의 성분이 섞여 있는 것은 화산 활동의 영향인 것으로 추측된다.,"['불꽃', '바위']",0.8,망보기포켓몬,22.7,"['위협', '타오르는불꽃']"
84,59,윈디,초원을 내달리는 모습은 사람들의 마음을 사로잡았다고 옛날 그림에 묘사되어 있다.,['불꽃'],1.9,전설포켓몬,155.0,"['위협', '타오르는불꽃']"
85,59,윈디,히스이의 모습 활활 타는 불꽃을 이빨에 두르고 문다. 체구가 큼에도 불구하고 화려한 움직임으로 적을 농락하는 모습이 마치 춤추는 것 같다.,"['불꽃', '바위']",2.0,전설포켓몬,168.0,"['위협', '타오르는불꽃']"
86,60,발챙이,배의 소용돌이는 피부 너머로 비쳐 보이는 내장의 일부다. 먹이를 먹으면 선명하게 보인다.,['물'],0.6,올챙이포켓몬,12.4,"['저수', '습기']"
87,61,슈륙챙이,두 다리가 발달하여 지상에서 살 수 있는데도 어째서인지 수중 생활을 좋아한다.,['물'],1.0,올챙이포켓몬,20.0,"['저수', '습기']"
88,62,강챙이,근육을 전부 사용하는 역동적인 헤엄치기가 특기지만 웬일인지 지상에서 생활한다.,"['물', '격투']",1.3,올챙이포켓몬,54.0,"['저수', '습기']"
89,63,캐이시,매일 18시간을 잠잔다. 깨어 있을 때도 앉은 채 순간이동으로 이동한다.,['에스퍼'],0.9,초능력포켓몬,19.5,"['싱크로', '정신력']"
90,64,윤겔라,윤겔라가 옆에 있으면 TV에 이상한 그림자가 비친다. 그것을 보면 불행해진다고 전해진다.,['에스퍼'],1.3,초능력포켓몬,56.5,"['싱크로', '정신력']"
91,65,후딘,태어나서부터 체험한 모든 것을 기억하고 있을 정도의 기억력을 가지고 있다. IQ가 5000이 넘는다.,['에스퍼'],1.5,초능력포켓몬,48.0,"['싱크로', '정신력']"
92,65,메가후딘,메가진화에 의해 모든 힘이 사이코 파워로 변환되었다. 근력조차 잃어버렸다.,['에스퍼'],1.2,초능력포켓몬,48.0,['트레이스']
93,66,알통몬,데구리를 수없이 들었다 놨다 하며 전신의 근육을 단련한다. 모든 격투기를 사용한다.,['격투'],0.8,괴력포켓몬,19.5,"['근성', '노가드']"
94,67,근육몬,근육몬의 끝없는 파워는 매우 위험하므로 힘을 제어하는 벨트를 차고 있다.,['격투'],1.5,괴력포켓몬,70.5,"['근성', '노가드']"
95,68,괴력몬,4개의 팔을 눈에 보이지 않을 정도로 빠르게 움직여 2초간 1000발의 펀치를 날린다.,['격투'],1.6,괴력포켓몬,130.0,"['근성', '노가드']"
96,68,괴력몬,거다이맥스의 모습 거다이맥스의 파워가 팔에 넘쳐흘러 폭탄의 파괴력을 가진 펀치를 날린다.,['격투'],25.0,괴력포켓몬,,"['근성', '노가드']"
97,69,모다피,주변에 움직이는 것이 있으면 언제든지 바로 반응해서 가느다란 덩굴을 뻗는다.,"['풀', '독']",0.7,꽃포켓몬,4.0,['엽록소']
98,70,우츠동,용해액의 효능을 없애는 액체도 분비하고 있어서 자신은 녹지 않는다.,"['풀', '독']",1.0,파리잡이포켓몬,6.4,['엽록소']
99,71,우츠보트,꿀 같은 향기에 이끌려 입안에 들어가면 끝장이다.용해액에 녹아 버리게 된다.,"['풀', '독']",1.7,파리잡이포켓몬,15.5,['엽록소']
100,72,왕눈해,바닷물이 빠지면 모래 해변에 남아 바싹 마른 왕눈해를 볼 수 있다.,"['물', '독']",0.9,해파리포켓몬,45.5,"['클리어바디', '해감액']"
101,73,독파리,드물게 대량 발생하면 주변 바다에서 물고기포켓몬이 모두 사라져 버리고 만다.,"['물', '독']",1.6,해파리포켓몬,55.0,"['클리어바디', '해감액']"
102,74,꼬마돌,움직이지 않고 있으면 돌멩이로 착각하여 무심코 밟게 되는데 그러면 주먹을 휘두르며 화를 낸다.,"['바위', '땅']",0.4,암석포켓몬,20.0,"['돌머리', '옹골참']"
103,74,꼬마돌,알로라의 모습 자력을 띤 돌의 몸을 가졌다. 특히 자력이 강한 부분에는 사철이 빽빽이 붙어 있다.,"['바위', '전기']",0.4,암석포켓몬,20.3,"['자력', '옹골참']"
104,75,데구리,걸음이 늦기 때문에 굴러서 이동한다. 도중에 무슨 일이 있어도 신경 쓰지 않는다.,"['바위', '땅']",1.0,암석포켓몬,105.0,"['돌머리', '옹골참']"
105,75,데구리,알로라의 모습 먹이인 돌을 두고 싸운다. 데구리끼리 부딪칠 때마다 폭음과 빛을 내뿜는다.,"['바위', '전기']",1.0,암석포켓몬,110.0,"['자력', '옹골참']"
106,76,딱구리,암반처럼 단단한 껍질에 싸여 있다. 1년에 1번 탈피하여 커진다.,"['바위', '땅']",1.4,메가톤포켓몬,300.0,"['돌머리', '옹골참']"
107,76,딱구리,알로라의 모습 신경질적이며 완고하다. 기분이 상하면 전신에서 전기를 방출하여 우렛소리같이 큰 소리로 운다.,"['바위', '전기']",1.7,메가톤포켓몬,316.0,"['자력', '옹골참']"
108,77,포니타,태어나서 1시간이 지나면 불꽃의 갈기와 꼬리가 자라나 멋진 모습이 된다.,['불꽃'],1.0,불의말포켓몬,30.0,"['도주', '타오르는불꽃']"
109,77,포니타,가라르의 모습 작은 뿔에 치유의 힘을 숨기고 있다. 작은 상처라면 뿔을 갖다 대서 치료해준다.,['에스퍼'],0.8,일각포켓몬,24.0,"['도주', '파스텔베일']"
110,78,날쌩마,달리는 속도는 시속 240km. 갈기의 불꽃이 세차게 타오르고 화살처럼 달려 나간다.,['불꽃'],1.7,불의말포켓몬,95.0,"['도주', '타오르는불꽃']"
111,78,날쌩마,가라르의 모습 뿔에서 나오는 사이코커터는 강력하다. 두꺼운 철판에 구멍을 낼 정도의 파괴력을 가졌다.,"['에스퍼', '페어리']",1.7,일각포켓몬,80.0,"['도주', '파스텔베일']"
112,79,야돈,움직임이 둔하고 멍청하다. 맞아도 5초는 지나야 아픔을 느낄 정도다.,"['물', '에스퍼']",1.2,얼간이포켓몬,36.0,"['둔감', '마이페이스']"
113,79,야돈,가라르의 모습 몸에서 자극적인 향기가 나는 것은 주식인 향신료의 성분이 몸에 배어들었기 때문이다.,['에스퍼'],1.2,얼간이포켓몬,36.0,"['먹보', '마이페이스']"
114,80,야도란,야돈이 바다로 먹이를 잡으러 갔다가 셀러에게 꼬리를 물려 야도란이 되었다.,"['물', '에스퍼']",1.6,기생포켓몬,78.5,"['둔감', '마이페이스']"
115,80,야도란,가라르의 모습 팔을 물고 있는 셀러는 배어 나오는 독소에 기절해 있지만 너무나도 맛있어서 황홀한 상태라고 한다.,"['독', '에스퍼']",1.6,기생포켓몬,70.5,"['퀵드로', '마이페이스']"
116,80,메가야도란,메가진화의 에너지는 모두 꼬리의 셀러에게 흘러 들어갔다. 그리고 야돈은 통째로 먹혔다.,"['물', '에스퍼']",2.0,기생포켓몬,120.0,['조가비갑옷']
117,81,코일,좌우에 있는 유닛에서 나오는 전자파를 이용해 중력을 거슬러 하늘에 떠 있다.,"['전기', '강철']",0.3,자석포켓몬,6.0,"['자력', '옹골참']"
118,82,레어코일,3개의 코일은 강한 자력으로 연결되어 있다. 가까이 다가가면 강한 귀울림에 시달리게 된다.,"['전기', '강철']",1.0,자석포켓몬,60.0,"['자력', '옹골참']"
119,83,파오리,파 줄기가 없으면 살 수 없다. 그래서 파 줄기를 노리는 상대와는 목숨을 걸고 싸운다.,"['노말', '비행']",0.8,청둥오리포켓몬,15.0,"['날카로운눈', '정신력']"
120,83,파오리,가라르의 모습 가라르에 사는 파오리의 모습. 굵고 튼튼한 파를 휘두르며 용감하게 싸우는 전사다.,['격투'],0.8,청둥오리포켓몬,42.0,['불굴의마음']
121,84,두두,완전히 같은 유전자를 가진 쌍둥이의 머리로 호흡이 척척 맞는 콤비네이션을 구사하며 싸운다.,"['노말', '비행']",1.4,쌍둥이새포켓몬,39.2,"['도주', '일찍기상']"
122,85,두트리오,폐와 심장이 3개로 늘어났다. 두두보다 다리는 느리지만 장시간을 계속 달릴 수 있다.,"['노말', '비행']",1.8,세쌍둥이새포켓몬,85.2,"['도주', '일찍기상']"
123,86,쥬쥬,머리에 있는 뿔은 매우 단단하다. 박치기로 빙산을 부수며 나아간다.,['물'],1.1,강치포켓몬,90.0,"['두꺼운지방', '촉촉바디']"
124,87,쥬레곤,물의 온도가 내려가는 밤에 먹이를 찾아 헤엄친다. 낮에는 얕은 해저에서 잔다.,"['물', '얼음']",1.7,강치포켓몬,120.0,"['두꺼운지방', '촉촉바디']"
125,88,질퍽이,오물이 포켓몬이 되었다. 더러운 장소에 모여 몸의 세균을 번식시킨다.,['독'],0.9,오물포켓몬,30.0,"['악취', '점착']"
126,88,질퍽이,알로라의 모습 체내에 독소를 저장하고 있어서 다른 지방의 질퍽이와는 달리 가까이 가도 고약한 냄새가 나지 않는다.,"['독', '악']",0.7,오물포켓몬,42.0,"['독수', '먹보']"
127,89,질뻐기,더러운 오물이 온몸에 달라붙었다. 지나간 자리를 건드리기만 해도 독이 퍼져 버린다.,['독'],1.2,오물포켓몬,30.0,"['악취', '점착']"
128,89,질뻐기,알로라의 모습 체내에 있는 독은 100종류 이상이다. 독과 독의 화학 반응이 생명의 근원이다.,"['독', '악']",1.0,오물포켓몬,52.0,"['독수', '먹보']"
129,90,셀러,다이아몬드보다 단단한 껍데기에 싸여 있지만 속은 의외로 말랑하다.,['물'],0.3,두조개포켓몬,4.0,"['조가비갑옷', '스킬링크']"
130,91,파르셀,조수의 흐름이 격한 바다에 서식하는 파르셀의 껍데기에 붙은 가시는 크고 날카롭다.,"['물', '얼음']",1.5,두조개포켓몬,132.5,"['조가비갑옷', '스킬링크']"
131,92,고오스,가스로 된 몸으로 휘감은 다음 먹이의 피부를 통해 조금씩 독을 흘려보내어 약하게 만든다.,"['고스트', '독']",1.3,가스포켓몬,0.1,['부유']
132,93,고우스트,어둠을 틈타 가스로 된 손을 뻗쳐 사람의 어깨를 두드리기 좋아한다. 그 손에 닿으면 떨림이 멈추지 않는다.,"['고스트', '독']",1.6,가스포켓몬,0.1,['부유']
133,94,팬텀,생명을 빼앗기로 정한 먹잇감의 그림자에 숨어들어 꼼짝하지 않고 기회를 노린다.,"['고스트', '독']",1.5,그림자포켓몬,40.5,['저주받은바디']
134,94,메가팬텀,팬텀의 유대감은 비뚤어졌다. 팬텀이 먹이로 노리는 상대하고만 싹튼다고 한다.,"['고스트', '독']",1.4,그림자포켓몬,40.5,['그림자밟기']
135,94,팬텀,거다이맥스의 모습 저주의 에너지로 넘치고 있다. 거대한 입의 저편은 저세상과 이어져 있다고 한다.,"['고스트', '독']",20.0,그림자포켓몬,,['저주받은바디']
136,95,롱스톤,롱스톤이 땅속을 뚫고 나아가면 땅울림이 들리며 지면이 흔들린다. 이동 속도는 시속 80km.,"['바위', '땅']",8.8,돌뱀포켓몬,210.0,"['돌머리', '옹골참']"
137,96,슬리프,먹어 치운 꿈은 모두 기억하고 있다. 아이들의 꿈이 맛있기 때문에 어른들의 꿈은 거의 먹지 않는다.,['에스퍼'],1.0,최면포켓몬,32.4,"['불면', '예지몽']"
138,97,슬리퍼,상대와 눈이 마주쳤을 때 최면술 등의 다양한 초능력을 사용한다고 전해진다.,['에스퍼'],1.6,최면포켓몬,75.6,"['불면', '예지몽']"
139,98,크랩,모래 해변에 구멍을 파서 산다. 집게는 싸울 때 떨어져 나가도 다시 자라나 원래대로 돌아온다.,['물'],0.4,게포켓몬,6.5,"['괴력집게', '조가비갑옷']"
140,99,킹크랩,큰 집게의 파워는 1만 마력이다. 하지만 너무 무거워서 목표물을 잡는 것이 서투르다.,['물'],1.3,집게포켓몬,60.0,"['괴력집게', '조가비갑옷']"
