[864468]: 344ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:722 CSpxAudioStreamSession::AddRecognizer
[697033]: 361ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxAudioProcessorWriteToAudioSourceBuffer' as '354155511'
[697033]: 361ms SPX_DBG_TRACE_SCOPE_ENTER:  microphone_pump_base.cpp:113 MicrophonePumpBase::StartPump() ...
[697033]: 361ms SPX_DBG_TRACE_VERBOSE:  microphone_pump_base.cpp:125 CSpxMicrophonePumpBase::StartPump starting audio input
[380336]: 361ms SPX_DBG_TRACE_SCOPE_ENTER:  microphone_pump_base.cpp:179 MicrophonePumpBase::UpdateState() ...
[380336]: 361ms SPX_DBG_TRACE_VERBOSE:  microphone_pump_base.cpp:183 CSpxMicrophonePumpBase::UpdateState: UpdateState with state as 0.
[380336]: 361ms SPX_DBG_TRACE_SCOPE_EXIT:  microphone_pump_base.cpp:179 MicrophonePumpBase::UpdateState ... Done!
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  microphone_pump_base.cpp:128 CSpxMicrophonePumpBase::StartPump audio input started!
[697033]: 365ms SPX_DBG_TRACE_SCOPE_EXIT:  microphone_pump_base.cpp:113 MicrophonePumpBase::StartPump ... Done!
[697033]: 365ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3164 CSpxAudioStreamSession::StartAudioPump
[697033]: 365ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1177 CSpxAudioStreamSession::StartRecognizing
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:467 [0000024EF526C390]CSpxAudioStreamSession::SetFormat: format != nullptr
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3583 [0000024EF526C390]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 4/1 => 4/2
[951054]: 365ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1120 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD stopped ***
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:472 [0000024EF526C390]CSpxAudioStreamSession::SetFormat: Now ProcessingAudio ...
[697033]: 365ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3396 CSpxAudioStreamSession::InformAdapterSetFormatStarting
[569230]: 365ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x0000024EF53970E0
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxUspRecoEngineAdapterRetry' as '806006714'
[569230]: 365ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=CSpxAsyncOp<void>, h=0x0000024EF53970E0, p=0x0000024EF53970E0, tot=0
[697033]: 365ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter_retry.cpp:19 CSpxUspRecoEngineAdapterRetry::InitDelegatePtr
[697033]: 365ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:50 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter: this=0x0000024EF5413610
[697033]: 365ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxUspRecoEngineAdapter' as '806006714'
[697033]: 365ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:63 CSpxUspRecoEngineAdapter::Init
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:64 CSpxUspRecoEngineAdapter::Init: this=0x0000024EF5413610
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='CARBON-INTERNAL-DumpAudioToDir'; value=''
[697033]: 365ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:63 CSpxUspRecoEngineAdapter::Init
[697033]: 365ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter_retry.cpp:19 CSpxUspRecoEngineAdapterRetry::InitDelegatePtr
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:115 CSpxUspRecoEngineAdapter::SetAdapterMode: singleShot=0
[697033]: 365ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:230 CSpxUspRecoEngineAdapter::SetFormat
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:231 CSpxUspRecoEngineAdapter::SetFormat: this=0x0000024EF5413610
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:242 CSpxUspRecoEngineAdapter::SetFormat
  wFormatTag:      PCM
  nChannels:       1
  nSamplesPerSec:  16000
  nAvgBytesPerSec: 32000
  nBlockAlign:     2
  wBitsPerSample:  16
  cbSize:          0
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3075 CSpxUspRecoEngineAdapter::TryChangeState; audioState/uspState: 0/0 => 1/0 USP-START
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:264 CSpxUspRecoEngineAdapter::SetFormat: (0x0000024EF5413610)->PrepareFirstAudioReadyState()
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3242 CSpxUspRecoEngineAdapter::ResetBeforeFirstAudio: this=0x0000024EF5413610 ... USP-RESET
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3091 CSpxUspRecoEngineAdapter::PrepareCompressionCodec: Prepare compression codec.
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='SPEECH-Compression-Codec-Module'; value=''
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3153 CSpxUspRecoEngineAdapter::PrepareFirstAudioReadyState: (0x0000024EF5413610)->PrepareCompressionCodec() result:        4. Sending the audio uncompressed
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='AZAC-SDK-PROGRAMMING-LANGUAGE'; value='C#'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='SPEECH-UserDefinedQueryParameters'; value='traffictype=spx'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0000024EF526C478; name='HttpHeader#User-agent'; value='spx SpeechSDK-C#/1.42.0 Windows Client 8'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:357 CSpxUspRecoEngineAdapter::UspInitialize: this=0x0000024EF5413610
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxUspCallbackWrapper' as '710381509'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='SessionId'; value='3d0316bc38c64a3f939baa4f2f0f4786'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1875 CSpxAudioStreamSession::GetScenarioCount: countSpeech=0; countIntent=0; countTranslation=1; countDialog=0, countConversationTranscriber=0, countConversationTranscriberV2=0, countMeetingTranscriber=0, countLanguageId=0
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='SPEECH-UserDefinedQueryParameters'; value='traffictype=spx'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:555 CSpxUspRecoEngineAdapter::SetUspEndpoint: Using user provided query parameters: traffictype=spx
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:763 CSpxUspRecoEngineAdapter::SetUspEndpointTranslation: Endpoint type: Translation.
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='SPEECH-Region'; value='eastus'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='SPEECH-RecoLanguage'; value='ko-kr'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='TRANSLATION-ToLanguages'; value=''ru-RU,fr-FR,es-ES''
[697033]: 365ms SPX_TRACE_INFO:  usp_reco_engine_adapter.cpp:1110 SpeechServiceConnection_LanguageIdMode not set or has invalid value .
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:647 CSpxUspRecoEngineAdapter::SetUspLanguageIdModeAndPriority: languageIdMode=0, languageIdPriority=0
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='SPEECH-RecoMode'; value='CONVERSATION'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:621 CSpxUspRecoEngineAdapter::SetUspRecoMode: recoMode=1
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:608 CSpxUspRecoEngineAdapter::SetUspEndpoint: Setting Websocket Polling interval to 10
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='SPEECH-SubscriptionKey'; value='**********************************************************************************CA'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::FindPrefix: this=0x0000024EF5413680; name='User-agent'; value='spx SpeechSDK-C#/1.42.0 Windows Client 8'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='AZAC-SDK-PROGRAMMING-LANGUAGE'; value='C#'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='AudioConfig_AudioSource'; value='Microphones'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='SPEECH-MicrophoneNiceName'; value='마이크(USB Microphone)'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='AudioConfig_SampleRateForCapture'; value='16000'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[697033]: 365ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0000024EF5413680; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[697033]: 366ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxUspConnection' as '792041254'
[697033]: 372ms SPX_TRACE_INFO:  usp_connection.cpp:485 Microsoft::CognitiveServices::Speech::USP::CSpxUspConnection::Connect: entering...
[697033]: 373ms SPX_TRACE_INFO:  usp_connection.cpp:502 Adding subscription key headers
[697033]: 373ms SPX_TRACE_INFO:  usp_connection.cpp:537 Set a user defined HTTP header 'User-agent':'spx SpeechSDK-C#/1.42.0 Windows Client 8'
[697033]: 373ms SPX_TRACE_INFO:  usp_connection.cpp:552 connectionUrl=wss://eastus.s2s.speech.microsoft.com/speech/translation/cognitiveservices/v1?from=ko-kr&to=%27ru-RU&to=fr-FR&to=es-ES%27&traffictype=spx
[697033]: 373ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxTelemetry' as '151041793'
[697033]: 373ms SPX_DBG_TRACE_SCOPE_ENTER:  web_socket.cpp:216 CSpxWebSocket::CSpxWebSocket
[697033]: 373ms SPX_DBG_TRACE_SCOPE_EXIT:  web_socket.cpp:216 CSpxWebSocket::CSpxWebSocket
[697033]: 373ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxWebSocket' as '482598724'
[697033]: 374ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:31 WebSocketAdapter::UwsWebSocket::UwsWebSocket
[697033]: 374ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:31 WebSocketAdapter::UwsWebSocket::UwsWebSocket
[697033]: 374ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:43 WebSocketAdapter::UwsWebSocket::Initialize
[697033]: 374ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:43 WebSocketAdapter::UwsWebSocket::Initialize
[697033]: 374ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 WebSocketAdapter::UwsWebSocket::SetRequestHeader
[697033]: 374ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 WebSocketAdapter::UwsWebSocket::SetRequestHeader
[697033]: 374ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 WebSocketAdapter::UwsWebSocket::SetRequestHeader
[697033]: 374ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 WebSocketAdapter::UwsWebSocket::SetRequestHeader
[697033]: 374ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 WebSocketAdapter::UwsWebSocket::SetRequestHeader
[697033]: 374ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 WebSocketAdapter::UwsWebSocket::SetRequestHeader
[697033]: 374ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0000024EF526C478; name='SPEECH-ConnectionUrl'; value='wss://eastus.s2s.speech.microsoft.com/speech/translation/cognitiveservices/v1?from=ko-kr&to=%27ru-RU&to=fr-FR&to=es-ES%27&traffictype=spx'
[697033]: 374ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:1163 speech.config {"context":{"system":{"version":"1.42.0","name":"SpeechSDK","build":"Windows-x64","lang":"C#"},"os":{"name":"Client","version":"8","platform":"Windows"},"audio":{"source":{"type":"Microphones","model":"\ub9c8\uc774\ud06c(USB Microphone)","samplerate":"16000","bitspersample":"16","channelcount":"1"}}}}
[697033]: 374ms SPX_TRACE_INFO:  usp_connection.cpp:787 Create requestId  for messageType 0
[697033]: 374ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:230 CSpxUspRecoEngineAdapter::SetFormat
[697033]: 374ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3396 CSpxAudioStreamSession::InformAdapterSetFormatStarting
[697033]: 374ms SPX_TRACE_INFO:  web_socket.cpp:800 CSpxWebSocket::DoWork: open transport.
[697033]: 374ms SPX_TRACE_INFO:  web_socket.cpp:479 Start to open websocket. WebSocket: 0xf545d200, wsio handle: 0xf5317560
[697033]: 374ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:149 WebSocketAdapter::UwsWebSocket::Open
[7725]: 375ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1725 DispatchEvent task complete!
[380336]: 479ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxBufferProperties' as '809583448'
[380336]: 480ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxReadWriteRingBuffer' as '956428994'
[380336]: 480ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxReadWriteRingBuffer' as '956428994'
[380336]: 480ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:538 Received audio chunk: time: 2025-03-17T03:46:19.3767501Z, size:3200.
[380336]: 480ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:552 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[380336]: 480ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0000024EF5293E20] m_bytesTransited = 3200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[380336]: 580ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:538 Received audio chunk: time: 2025-03-17T03:46:19.4774247Z, size:3200.
[380336]: 580ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:552 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[380336]: 580ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0000024EF5293E20] m_bytesTransited = 6400, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[380336]: 682ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:538 Received audio chunk: time: 2025-03-17T03:46:19.5790748Z, size:3200.
[380336]: 682ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:552 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[380336]: 682ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0000024EF5293E20] m_bytesTransited = 9600, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[697033]: 719ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:149 WebSocketAdapter::UwsWebSocket::Open
[697033]: 720ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3075 CSpxUspRecoEngineAdapter::TryChangeState; audioState/uspState: 1/0 => 2/1000 
[697033]: 720ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:297 CSpxUspRecoEngineAdapter::ProcessAudio: (0x0000024EF5413610)->PrepareUspAudioStream() ... size=3200
